num_distr	mouse.time	mouse.clicked_name				RT	
10	[1.4656754169991473]	['target']		1.4656754169991473		1.465675417	
5	[2.100847166002495]	['target']		2.100847166002495		2.100847166	
10	[2.5975119160139]	['target']		2.5975119160139		2.597511916	
10	[1.822083000006387]	['target']		1.822083000006387		1.822083	
10	[1.9363630000007106]	['target']		1.9363630000007106		1.936363	
10	[1.3461423749977257]	['target']		1.3461423749977257		1.346142375	
10	[1.678123500008951]	['target']		1.678123500008951		1.6781235	
5	[1.2185205000132555]	['target']		1.2185205000132555		1.2185205	
10	[2.0403572499926668]	['target']		2.0403572499926668		2.04035725	
5	[1.5593153750087367]	['target']		1.5593153750087367		1.559315375	
10	[2.3649042080069194]	['target']		2.3649042080069194		2.364904208	
10	[1.4115722920105327]	['target']		1.4115722920105327		1.411572292	
5	[1.4174146669975016]	['target']		1.4174146669975016		1.417414667	
10	[2.3982520830031717]	['target']		2.3982520830031717		2.398252083	
10	[1.7463664579991018]	['target']		1.7463664579991018		1.746366458	
5	[1.401349374995334]	['target']		1.401349374995334		1.401349375	
10	[2.707872708007926]	['target']		2.707872708007926		2.707872708	
5	[1.992051207998884]	['target']		1.992051207998884		1.992051208	
10	[1.9077942080039065]	['target']		1.9077942080039065		1.907794208	
10	[2.102398708986584]	['target']		2.102398708986584		2.102398709	
5	[1.3016561249969527]	['target']		1.3016561249969527		1.301656125	
10	[1.4065467499895021]	['target']		1.4065467499895021		1.40654675	
5	[1.6764681250060676]	['target']		1.6764681250060676		1.676468125	
5	[1.7366985419939738]	['target']		1.7366985419939738		1.736698542	
5	[2.1206179590080865]	['target']		2.1206179590080865		2.120617959	
10	[2.4981911659997422]	['target']		2.4981911659997422		2.498191166	
5	[1.901745250012027]	['target']		1.901745250012027		1.90174525	
10	[1.597305041999789]	['target']		1.597305041999789		1.597305042	
10	[2.4549613340059295]	['target']		2.4549613340059295		2.454961334	
10	[1.6467689999990398]	['target']		1.6467689999990398		1.646769	
10	[1.4789810410002246]	['target']		1.4789810410002246		1.478981041	
10	[5.069475417010835]	['target']		5.069475417010835		5.069475417	
